WineName,WineryName,Description,Price,Capacity,Grape,Secondary Grape Varieties,Closure,Country,Unit,Characteristics,Per bottle / case / each,Type,ABV,Region,Style,Vintage,Appellation,Acidity
Cabernet Sauvignon,Bread & Butter,"Bread & Butter are a firm Majestic favourite. Their wines are big, bold, and never hold back on flavour. Their fruit-forward philosophy has earned them a loyal following –  in the past we've even had to implement waiting lists to meet the growing demand. This reserve is a step up from their admired Cabernet Sauvignon. It's made in Napa Valley, home to some of America's finest reds, and has richness, complexity and delicious oaky spice in abundance. If you're a fan of wines with character, this promises decadent flavour at great value. Expect intense notes of mocha, black fruits, vanilla and baking spices. Its rich texture and intense flavours will pair beautifully with flavoursome red meats.",£31.99 per bottle,75CL,Cabernet Sauvignon,,Natural Cork,USA,10.9,"Black Cherry, Black Plum, Blackberry, Coffee, Spice",per bottle,Red,ABV 14.50%,California,Bold & Spicy,2019,Napa Valley,High
Garnacha Blanca Nativa,Bodegas Care,"Bodegas Care is the brainchild of fourth-generation grape growers with an obsession: they want to create quality modern Spanish wines that are great value for money. Winemaker Óscar Martínez hails from Basque country and has worked with Tempranillo on big-name Rioja brands. Now his focus is producing world-class Garnacha and Carignan (known locally as Cariñena). This is intensely aromatic, with hints of white flowers, citrus and herbs. It's balanced, exotic and elegant – with freshness and structure. The length is long and rich too.",£12.99 per bottle,75CL,Grenache Blanc,,Screwcap,Spain,10.1,"Blossom, Citrus Fruit, Stone Fruit, Tomato Leaf",per bottle,White,ABV 13.50%,,Ripe & Rounded,2021,Carinena,Medium
Rioja Reserva,Beronia,"In 1973 a group of friends in a Haro dining club wanted to make Rioja that was designed to go with the food they loved. They more than succeeded. 50 years later, Beronia's wines are still renowned for their food-friendliness. This Reserva spends 20 months ageing in oak, creating a deliciously velvety red. It's rich, ripe and full of red-fruit flavour. The oak-ageing shows itself in elegant toasty notes of coconut and vanilla, rounded off with spice and smooth tannins. An ideal bottle for your Sunday roast.",£17.99 per bottle,75CL,Tempranillo,"Mazuelo, Graciano",Natural Cork,Spain,10.5,"Vanilla, Black Fruit, Red Fruit",per bottle,Red,ABV 14.00%,Rioja And Navarra,Savoury & Full Bodied,2019,Rioja,High
Vinho Verde,Casa de Vila Nova,"Owned by the Lencastre family, Filipa de Lencastre is produced near the town of Penafiel, close to the eastern edge of the Vinho Verde wine region. They're one of a few esteemed local producers who are transforming the image of Portugal's popular refreshing 'green wine' into a food-friendly pour worth taking seriously. Usually fresh, light and easy-drinking, this is a more grown-up rendition. Made entirely with zingy Alvarinho grapes, it comes with impressive complexity. The 2021 bottling won silver at the highly respected Decanter World Wine Awards.",£11.99 per bottle,75CL,Albarino,,Screwcap,Portugal,9,"Bread, Citrus Fruit, Earth, Tropical Fruit",per bottle,White,ABV 12.00%,Vinho Verde,Crisp & Zesty,2021,,High
Alvarinho,Casa de Vila Nova,"Owned by the Lencastre family, Filipa de Lencastre is produced near the town of Penafiel, close to the eastern edge of the Vinho Verde wine region. They're one of a few esteemed local producers who are transforming the image of Portugal's popular refreshing 'green wine' into a food-friendly pour worth taking seriously. Usually fresh, light and easy-drinking, this is a more grown-up rendition. Made entirely with zingy Alvarinho grapes, it comes with impressive complexity. The 2021 bottling won silver at the highly respected Decanter World Wine Awards.",£11.99 per bottle,75CL,Albarino,,Screwcap,Portugal,9,"Bread, Citrus Fruit, Earth, Tropical Fruit",per bottle,White,ABV 12.00%,Vinho Verde,Crisp & Zesty,2021,,High
Chardonnay,Catena Zapata,"Catena Zapata won Drinks International Magazine's 'World's Most Admired Wine Brand 2020'. And it's little wonder why. This wine shows their expertise is in high-altitude winemaking. It's made in vineyards up to a towering 4,757 feet above sea level. Chardonnay grapes benefit from a long ripening period at this height. So this is absolutely delicious. It has notes of pear, peach, citrus and jasmine. Serve this lightly chilled with sushi.",£26.99 per bottle,75CL,Chardonnay,,Natural Cork,Argentina,10.5,"Vanilla, Peach, Pineapple",per bottle,White,ABV 14.00%,Mendoza,Rich & Toasty,2021,,High
Malbec,BenMarco,"BenMarco is made in the Uco Valley, one of the finest spots in Mendoza, under the watchful eye of Susana Balbo. Susana was the first woman in Argentina to graduate with a degree in winemaking and was President of Wines of Argentina no less than three times. So you know you're in for something excellent. It's ripe, juicy and seriously concentrated. Packed with flavours of blackberry and oaky vanilla spice. Perfect with steak.",£14.99 per bottle,75CL,Malbec,,Natural Cork,Argentina,10.9,"Violet, Black Fruit, Red Fruit, Ripe Fruit",per bottle,Red,ABV 14.50%,Mendoza,Soft & Fruity,2021,Uco Valley,High
Valpolicella,Tommasi,"Tommasi have prime sites in some of Valpolicella's best hillside vineyards. It's on these that they produce dazzling and award-winning Amarone. Their signature style is elegance over power. They've come up trumps again with the Il Sestante. Expect a full-bodied palate, smooth tannins and intense aromas of ripe cherries and plums. Decant for at least an hour and serve at room temperature with hard cheeses.",£42.99 per bottle,75CL,Corvina,"Rondinella, Molinara",Natural Cork,Italy,11.3,"Vanilla, Black Fruit, Spice",per bottle,Red,ABV 15.00%,Veneto,Rich & Juicy,2018,Valpolicella,High
Rioja Gran Reserva,Beronia,"Some of the best things only come with time. That's certainly the case for Beronia. This was aged for 28 months in oak barrels and three years in the bottle before it was released. It's been mellowing and maturing for four years since – and this gives you that classic Gran Reserva character. This wine has been transformed over time into something incredibly rich, smooth and velvety. Best decanted for an hour before serving with a roast dinner. This wine has won a gold medal at the 2023 IWSC for the 2015 vintage.",£26.99 per bottle,75CL,Tempranillo,,Natural Cork,Spain,10.9,"Vanilla, Black Fruit, Cedar, Cocoa, Dried Fruit, Red Fruit, Spice",per bottle,Red,ABV 14.50%,Rioja And Navarra,Savoury & Full Bodied,2016,Rioja,High
Baron Edmond,Rupert & Rothschild,"The Rupert & Rothschild partnership began in 1997. Both men were already from prestigious winemaking families. But they had an ambition to create Bordeaux-esque wines in the fantastic South African conditions. They soon produced some of the country's finest wines. The estate is now in the hands of their sons, Anthonji Ripert and Baron Benjamin de Rothschild, who continue the fantastic work. This is a savoury, full-bodied blend of Merlot, Cabernet Franc, Cabernet Sauvignon and Malbec. It's complex and silky with notes of blackberries, dark plum, tobacco, vanilla and toast. Try it with a sirloin steak.",£37.99 per bottle,75CL,Merlot,"Cabernet Franc, Cabernet Sauvignon, Malbec",Natural Cork,South Africa,10.5,"Black Fruit, Black Plum, Tobacco, Vanilla",per bottle,Red,ABV 14.00%,Western Cape,Savoury & Full Bodied,2018,,High
Pouilly-Fumé,de Ladoucette,"Father-and-son team Jean and Vincent Chatelain are the 11th and 12th generations of an illustrious Loire wine making family. In fact, the family has been making Loire wines since 1630! This unrivalled level of expertise is translated into this beautiful Sauvignon Blanc that's intense, mineral and concentrated with white-fruit, gooseberry and flint flavours.",£37.99 per bottle,75CL,Sauvignon Blanc,,Natural Cork,France,10.1,"Smoke, Citrus Fruit, Grass, Green Apple",per bottle,White,ABV 13.50%,Loire,Fresh & Elegant ,2021,Pouilly-Fumé,High
Pouilly-Fuissé,Domaine Trouillet,"If you're a fan of bold, complex Chardonnay, nothing quite hits the mark like Burgundy. The finest – and most expensive – examples come from the Côte de Beaune. But if your wallet won't stretch to the asking prices here, head a little further south to the Mâconnais. The region is home to Pouilly-Fuissé – an appellation renowned for exceptional, yet great value Chardonnay. The Trouillet family have been working the land around Pouilly for generations, and their skills have made them a Majestic favourite. Current winemaker, William Trouillet, is committed to environmentally friendly practices around the estate, crafting complex wines from his 40 to 50 year old vines. This opulent Premier Cru is full and rounded, with aromatic notes of citrus, orchard fruits and fresh blossom. A streak of minerality keeps it refreshing, and makes it a perfect pairing for shellfish.",£42.99 per bottle,75CL,Chardonnay,,Natural Cork,France,10.1,"Almond, Citrus Fruit, Floral, Lemon",per bottle,White,ABV 13.50%,Burgundy,Ripe & Rounded,2020,Pouilly-Fuissé,Medium
Morgon,Château de Pizay,"If you're looking for a fantastic Beaujolais, you can put your faith in Château de Pizay, whose wines have been enjoyed since the Middle Ages. This is their flagship red made solely from grapes in Morgon. This area was officially recognised as a Cru and produces a remarkably full-bodied, ripe style of Gamay. Expect hearty notes of cherries and a long finish. Great with charcuterie.",£15.99 per bottle,75CL,Gamay,,Natural Cork,France,10.5,"Vanilla, Blackberry, Raspberry, Red Cherry",per bottle,Red,ABV 14.00%,Beaujolais,Soft & Fruity,2021,Morgon,High
Rioja Crianza,Beronia,"Beronia was founded in 1973 by a group of friends who visited La Rioja on holiday. They had a love of its food and wine and even had their own gastronomic society. They were driven by this shared passion and decided to create their own wine to pair with local cuisines – and Bodegas Beronia was born. It's bright and vibrant with red fruits, blackberry and vanilla notes. It's aged for 12 months in oak. This is a short period of time by Rioja standards. As a result, it's all about maximum fruit flavour. Try it with Iberian cold cuts.",£13.99 per bottle,75CL,Tempranillo,"Garnacha, Mazuelo",Natural Cork,Spain,10.5,"Black Fruit, Red Fruit, Vanilla",per bottle,Red,ABV 14.00%,Rioja And Navarra,Smooth & Mellow,2020,Rioja,High
Sauvignon Blanc,Framingham,"Framingham does things differently. This Marlborough estate holds an outdoor rock concert every harvest. So, as you can imagine, their approach to winemaking is a little unconventional. We love the result. To preserve complexity, each parcel of fruit behind this bold Sauvignon is picked from several sites on Framingham's estate and vinified separately. The result is zesty Sauvignon full of rich guava, apple-skin and pineapple flavours.",£14.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,New Zealand,10.1,"Tropical Fruit, Gooseberry, Grass, Green Apple, Lemon",per bottle,White,ABV 13.50%,Marlborough,Crisp & Zesty,2022,,High
Montagne-Saint-Émilion,Château Tour Bayard,"This meticulously managed property has be owned by the Nicoletti since 1956.  Hand picking and sorting of the grapes is the norm and the intention is to always make the best quality wine that speaks of its fine terroir. This is a smooth and powerful wine with big flavours of blackcurrant, liquorice and sweet spices. It is drinking beautifully now but could equally be aged for another 5 years. Try this with a rare roast joint of beef.

In 2022, this wine won an IWC award for the 2019 vintage.",£17.99 per bottle,75CL,Merlot,Cabernet Franc,Natural Cork,France,11.3,"Sweet Spice, Blackcurrant, Liquorice",per bottle,Red,ABV 15.00%,Bordeaux,Savoury & Full Bodied,2020,Saint-Émilion,Medium
Malbec,Mendel,"Mendel's founder, Roberto de La Mota likes to joke that he was born in a winery. Before he studied winemaking, he took his first steps under the guidance of his father, renowned Malbec pioneer, Don Raúl de la Mota. And just like his father, Roberto has become one of Argentina's most famed winemakers. Mendel is a celebration of Roberto's deep-rooted winemaking heritage. He farms Malbec vines that date back as far as 1928. Along with these old vines and Lujan de Cuyo's high-altitudes, he skilfully crafts this powerful, elegant and complex wine. Expect notes of red fruit, vanilla, and a touch of spice. Sublime with leg of lamb.",£22.99 per bottle,75CL,Malbec,,Natural Cork,Argentina,10.9,"Violet, Black Fruit, Red Fruit, Ripe Fruit, Spice, Vanilla",per bottle,Red,ABV 14.50%,Mendoza,Rich & Juicy,2020,,High
Chianti,Cecchi,"The Cecchi family has a rich Tuscan history. And today they adopt an 18th-century winemaking method to make this a rich, fruity style of Chianti. Made primarily from Sangiovese, this is a smooth wine with notes of ripe red fruits and a balancing acidity. Excellent with mushroom pasta.",£11.99 per bottle,75CL,Sangiovese,,Natural Cork,Italy,9.8,"Sweet Spice, Black Cherry, Red Fruit",per bottle,Red,ABV 13.00%,Tuscany,Rich & Juicy,2020,Chianti,High
Rosso di Montalcino,Banfi,"Banfi was founded in 1978 by Italian-American wine merchants from New York. In the time since, they've been named International Winery of the Year five times and Italian Winery of the Year 13 times. This is a fresher alternative to Brunello, with a full body, flavours of liquorice, plum and vanilla and great balance. Pair this with medium cheeses.

In 2022, this wine won an IWC award for the 2017 vintage.",£19.99 per bottle,75CL,Sangiovese,,Natural Cork,Italy,10.9,"Strawberry, Raspberry, Red Cherry, Spice",per bottle,Red,ABV 14.50%,Tuscany,Smooth & Mellow,2020,,Medium
Chianti Rufina,Selvapiana,"Francesco Giuntini is one of the most respected winemakers in Chanti Rufina. He now crafts this organically, and it goes a long way to show why Chianti Rufina is well worth looking out for. This is a perfumed, elegant red with fine-grained tannins, flavours of dark cherries and spice and a freshness on the finish.",£19.99 per bottle,75CL,Sangiovese,,Natural Cork,Italy,10.5,"Strawberry, Raspberry, Red Cherry, Spice",per bottle,Red,ABV 14.00%,Tuscany,Smooth & Mellow,2018,Chianti,High
Sauvignon Blanc,Rimapere,"You might not associate the Rothschild name with Marlborough, since the family are famed in Bordeaux for some of the finest châteaux in the world. But Benjamin de Rothschild was so fond of Marlborough Sauvignon, he bought the best land possible and flew in award-winning French winemaker, Anne Escalle in order to create his own. The winery is situated next to Cloudy Bay in what's known as the 'Golden Triangle' –  arguably the oldest and most established spot of Marlborough. The Rothschild exacting requirements for excellence shine through in this single-vineyard Sauvignon. Expect aromas of lemon, gooseberry and green tea, plus a long, smooth finish. Try it with grilled meaty swordfish to make its flavours sing.",£19.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,New Zealand,9.8,"Tropical Fruit, Grass, Green Apple, Lemon",per bottle,White,ABV 13.00%,Marlborough,Crisp & Zesty,2022,,High
Shiraz,Grant Burge,"Fifth-generation winemaker, Grant Burge,  is the name behind one of Australia's most respected and innovative producers. His family's roots in the Barossa Valley stretch back to 1855, when they immigrated from Wiltshire, England. Their classic South Australian wines are now recognised worldwide for their consistent quality as a result of being crafted from the finest Barossa fruit and passionate hands-on winemaking. This Shiraz – named in honour of the Burge family's winemaking heritage – is an excellent balance of classic Barossa power and elegant freshness. It's full of ripe plum, blueberry and strawberry with notes of black pepper, clove and chocolate. A wine this flavoursome will pair perfectly with punchy barbecued meats.",£16.99 per bottle,75CL,Shiraz,"Grenache, Tempranillo",Screwcap,Australia,10.9,"Black Plum, Blackberry, Blueberry, Chocolate, Cloves",per bottle,Red,ABV 14.50%,Australia,Bold & Spicy,2018,Barossa Valley,High
Grüner Veltliner,Winzer Krems,"In Krems, winemaking goes back more than 2,000 years. So it's safe to say that Winzer Krems, one of Austria's most significant producers, is a project that honours tradition and exceptional quality. Their Grüner Veltliner is a deep gold colour, from its time spent in contact with its skins. Discover complex flavours of pepper and honey, with a fresh finish. This is an incredibly versatile wine, so don't be afraid to pair it with complex aromatic dishes, like Thai food.",£11.99 per bottle,75CL,Gruner Veltliner,,Screwcap,Austria,9.8,"Stone Fruit, Citrus Fruit, Ginger",per bottle,Orange,ABV 13.00%,Austria,Fresh & Elegant ,2021,,High
Morgon,Georges Duboeuf,"The late Georges Duboeuf made it his life's work to popularise the wines of Beaujolais. He more than succeeded – and his wines are now recognised worldwide for their quality. This Morgon is full bodied and smooth, and it's already a hit with the critics – the 2020 vintage was awarded 91 points by James Suckling. Expect bright notes of red berries, black cherry, plum and black pepper. Its vibrant flavours make it a fantastic partner for steak frites and other bistro classics.",£16.99 per bottle,75CL,Gamay,,Screwcap,France,10.1,"Black Cherry, Black Fruit, Black Pepper, Spice",per bottle,Red,ABV 13.50%,Beaujolais,Light & Elegant,2020,Morgon,High
Saint-Estèphe,Château Meyney,"This 92-point claret is made by Château Meyney, the only winery in Médoc that has clay soils similar to those at £2,500-per-bottle Pétrus. It's a second wine in name, but it's made with the same care as the grand vin. The only difference is that it's from younger vines - which are still, on average, 35-years-old. Its depths of black-fruit flavour and snappy tannins and beginning to hit their peak right now.",£26.99 per bottle,75CL,Merlot,Cabernet Sauvignon,Natural Cork,France,10.1,"Cedar, Black Plum, Blackcurrant",per bottle,Red,ABV 13.50%,Bordeaux,Savoury & Full Bodied,2017,Saint-Estéphe,High
Marsannay Rouge,Louis Latour,"The red wines of Marsannay get their lively, robust character from the rich iron soils carpeting the north of Burgundy's Côte d'Or. And Louis Latour, one of the region's foremost producers, makes this classic, delicious example. Only the best hand-picked Pinot Noir grapes – from vines averaging 30 years of age – are used. The finished wine is packed with that enticing red fruit and gamey character that makes red Burgundy so popular. Use it to wash down roasted duck or coq au vin.",£34.99 per bottle,75CL,Pinot Noir,,Natural Cork,France,10.1,"Strawberry, Cedar, Earth, Raspberry, Red Cherry",per bottle,Red,ABV 13.50%,Burgundy,Light & Elegant,2021,Marsannay,High
Vintage Port,Fonseca,"Founded in 1815, Fonseca has a centuries-old reputation for decadent vintage Port. Sourced from their flagship estate, the Quinta do Panascal bottlings are famed for their distinctive character and vibrancy. Crafted using sustainably grown fruit, grapes are foot-trodden in traditional cement tanks and then aged in oak barrels. This 2008 vintage is a pure expression of the estate's slopey, riverside terroir, with opulent notes of cassis, black cherry, dark chocolate and sandalwood.",£32.99 per bottle,75CL,Touriga Nacional,"Tinta Barroca, Tinta Cao, Tinta Roriz, Touriga Franca",Natural Cork,Portugal,15.4,,per bottle,Red,ABV 20.50%,Douro,,2008,,Low
Sancerre,Château de Thauvenay,"The Loire Valley's Langlois-Chateau winery is owned by the Bollinger family. Their L'Extra par Langlois Crémant has long been a Majestic customer favourite. Along with premium fizz, the winery also lays claim to vines surrounding the magnificent Château de Thauvenay in Sancerre. Here, rich calcareous soils and the team's sustainable practices help to craft a style of Sauvignon Blanc for which the region is so renowned. Intense. Crisp. Aromatic. Expect exotic notes of pineapple, mango and grapefruit, with plenty of freshness and rich citrusy flavour.",£24.99 per bottle,750ML,Sauvignon Blanc,,Natural Cork,France,9.4,"Citrus Fruit, Cream, Grass, Green Apple, Flint",per bottle,White,ABV 12.50%,Loire,Fresh & Elegant ,2021,Sancerre,High
Listrac-Médoc,Château Fourcas Dupré,"Listrac-Médoc sits in a prime spot on Bordeaux's prestigious left bank. Situated between St-Julien to the north and Margaux to the south, the appellation offers classic Cabernet Sauvignon-led blends that offer excellent value for money. Château Fourcas Dupré began in 1843, and it's grown to become one of the leading estates in the region. This spends up to 14 months in barrel prior to release, and with almost a decade of bottle maturation under its belt, you can expect an impressive, complex claret. Expect silky notes of ripe red fruits and cedar wood spice. Its elegant tannins make it an ideal drop for white meat dishes.",£15.99 per bottle,75CL,Merlot,Cabernet Sauvignon,Natural Cork,France,9.8,"Spice, Blackcurrant, Savoury",per bottle,Red,ABV 13.00%,Bordeaux,Savoury & Full Bodied,2013,Listrac-Médoc,High
Médoc,Château Tour Haut-Caussan,"Château Tour Haut-Caussan, and its iconic windmill, is an inside secret for Médoc experts. Robert Parker, the world's most famous wine critic, called the family-run estate ""excellent"". And it's known to compete with some of the prestigious classified estates in its best vintages. But as it's relatively unknown, its Cabernet-Merlot blends are still a bargain. Expect aromas of red and black fruits and smoke, flavours of ripe blackberries and cherries, firm tannins and a hint of oak. Try it with roast beef.",£15.99 per bottle,75CL,Cabernet Sauvignon,Merlot,Natural Cork,France,10.1,"Blackcurrant, Cedar, Earth, Spice",per bottle,Red,ABV 13.50%,Bordeaux,Savoury & Full Bodied,2017,Médoc,High
Saint-Estèphe,Château Le Boscq,"Château Le Boscq has a rich winemaking history dating back to the 1700s. This Cru Bourgeois estate is recognised for consistently high quality, classic-style wines that offer great value for money. And this 2013 vintage punches way above its price tag. It's a rich blend of Merlot and Cabernet Sauvignon that combines the powerful character of Saint-Estèphe with extraordinary finesse. Expect a beautifully balanced wine with aromas of ripe cherry, plum, liquorice and cedar. Its silky tannins make it a great partner for roasted game meats.",£24.99 per bottle,75CL,Merlot,Cabernet Sauvignon,Natural Cork,France,9.4,"Black Fruit, Cedar, Liquorice, Red Fruit",per bottle,Red,ABV 12.50%,Bordeaux,Savoury & Full Bodied,2013,Saint-Estéphe,High
Amarone della Valpolicella Classico,Allegrini,"Amarone is one of Italy's most celebrated wines. Hailing from the Valpolicella region, it's made from Corvina grapes that have been partially dried before crushing. This makes for concentrated dried-cherry aromas and a distinctly rich, powerful wine. Allegrini's version, made in the heart of the prestigious Vapolicella Classico sub-region, strikes a happy balance between modernity and tradition. Expect intense notes of ripe dark fruit and spice. Try it with a fillet steak or Italian-style braised beef stew.",£79.99 per bottle,75CL,Corvina,"Rondinella, Molinara",Natural Cork,Italy,12,"Vanilla, Chocolate, Fig, Red Cherry, Red Plum, Sweet Spice",per bottle,Red,ABV 16.00%,Veneto,Rich & Juicy,2018,Valpolicella,High
Valpolicella Classico,Allegrini,"Amarone is one of Italy's most celebrated wines. Hailing from the Valpolicella region, it's made from Corvina grapes that have been partially dried before crushing. This makes for concentrated dried-cherry aromas and a distinctly rich, powerful wine. Allegrini's version, made in the heart of the prestigious Vapolicella Classico sub-region, strikes a happy balance between modernity and tradition. Expect intense notes of ripe dark fruit and spice. Try it with a fillet steak or Italian-style braised beef stew.",£79.99 per bottle,75CL,Corvina,"Rondinella, Molinara",Natural Cork,Italy,12,"Vanilla, Chocolate, Fig, Red Cherry, Red Plum, Sweet Spice",per bottle,Red,ABV 16.00%,Veneto,Rich & Juicy,2018,Valpolicella,High
Valpolicella,Allegrini,"Amarone is one of Italy's most celebrated wines. Hailing from the Valpolicella region, it's made from Corvina grapes that have been partially dried before crushing. This makes for concentrated dried-cherry aromas and a distinctly rich, powerful wine. Allegrini's version, made in the heart of the prestigious Vapolicella Classico sub-region, strikes a happy balance between modernity and tradition. Expect intense notes of ripe dark fruit and spice. Try it with a fillet steak or Italian-style braised beef stew.",£79.99 per bottle,75CL,Corvina,"Rondinella, Molinara",Natural Cork,Italy,12,"Vanilla, Chocolate, Fig, Red Cherry, Red Plum, Sweet Spice",per bottle,Red,ABV 16.00%,Veneto,Rich & Juicy,2018,Valpolicella,High
El Viejo,Matsu,"Matsu translates from Japanese as 'to wait'. It perfectly captures the patient philosophy of Bodega Matsu on their Toro vineyards. This is their remarkable flagship wine. It's sourced from a vineyard that's now in its second century. The mature vines make for an intensely flavoured, complex wine. Despite the region's hot and dry climate, it's also incredibly elegant. And unlike neighbouring Ribera Del Duero, Toro wines don't demand the same price tag – making this fine wine even more extraordinary. It has notes of jammy black fruits, smoky, toasty spice and an elegant structure. Perfect for herb-crusted filet mignon.",£26.99 per bottle,75CL,Tempranillo,,Natural Cork,Spain,11.3,"Spice, Black Cherry, Blackcurrant, Cedar",per bottle,Red,ABV 15.00%,Castilla Y León,Savoury & Full Bodied,2020,Toro,High
Matsu,Matsu,"Matsu translates from Japanese as 'to wait'. It perfectly captures the patient philosophy of Bodega Matsu on their Toro vineyards. This is their remarkable flagship wine. It's sourced from a vineyard that's now in its second century. The mature vines make for an intensely flavoured, complex wine. Despite the region's hot and dry climate, it's also incredibly elegant. And unlike neighbouring Ribera Del Duero, Toro wines don't demand the same price tag – making this fine wine even more extraordinary. It has notes of jammy black fruits, smoky, toasty spice and an elegant structure. Perfect for herb-crusted filet mignon.",£26.99 per bottle,75CL,Tempranillo,,Natural Cork,Spain,11.3,"Spice, Black Cherry, Blackcurrant, Cedar",per bottle,Red,ABV 15.00%,Castilla Y León,Savoury & Full Bodied,2020,Toro,High
Matsu,Matsu,"Much like Ribera Del Duero, the Tempranillo grape is king in the region of Toro. Since the area is not as well-known as its famous neighbour, you can find excellent wines at a lower price. The region's vineyards strive to survive the fiercely hot, dry climate. In the right hands, hard-working vines create complex and intensely flavoured wines. El Picaro translates as 'the rogue', which perfectly sums up this vibrant, charming wine. With just two months ageing in concrete vats, you can taste its youthful freshness – there's notes of juicy blackberry and blueberry, liquorice and sweet spice. The perfect choice for cuts of roast beef.",£11.99 per bottle,75CL,Tempranillo,,Natural Cork,Spain,10.9,"Cedar, Black Cherry, Blackcurrant",per bottle,Red,ABV 14.50%,Castilla Y León,Savoury & Full Bodied,2022,Toro,High
Matsu,Matsu,"As soon as the team behind Bodega Matsu visited Toro, they knew they had to make wine there. 100-year-old vineyards, perfect soils and a goldilocks climate all pointed to a wine of exceptional quality. La Jefa is made there from these obscure, ancient vines – it's a century in the making, but it's well worth the wait. A wide variety of white grapes were picked by hand and fermented on lees in French oak. So you can expect a seriously lush texture and plenty of flavour. Discover notes of vanilla, ripe stone fruits and cream. Perfect with seafood.",£26.99 per bottle,75CL,Malvasia,,Natural Cork,Spain,9.8,"Apricot, Peach, Vanilla",per bottle,White,ABV 13.00%,Castilla Y León,Ripe & Rounded,2019,Toro,High
Syrah,Boekenhoutskloof,"Boekenhoutskloof began in 1776 and is now in the very capable hands of Marc Kent, one of the biggest names in South African wine. Tim Atkin MW labelled them a First Growth in his 2021 South Africa report, and this is one of the most in-demand Syrahs in the country. It has concentrated notes of blackcurrant, black olive, ripe plums, cardamom and black pepper. Match with a dish that can stand up to plenty of flavour, like barbecued ribs or juicy beef burgers.",£39.99 per bottle,75CL,Syrah,,Natural Cork,South Africa,10.5,"Blackcurrant, Red Plum, Tobacco, White Pepper",per bottle,Red,ABV 14.00%,Franschhoek,Bold & Spicy,2020,,High
Brunello di Montalcino,Banfi,"Montalcino is an area famous for its high-end wines made from the Sangiovese grape. Castello Banfi is regarded as one of its most beautiful estates. And the class doesn't end at architecture. This is a complex, elegant Brunello, with notes of violets, red fruit, cigar box and spices. Decant for an hour before serving at 14 degrees with roast lamb or cellar for up to 20 years.

In 2022, this wine won an IWC award for the 2016 vintage.",£54.99 per bottle,75CL,Sangiovese,,Natural Cork,Italy,11.6,"Spice, Black Fruit, Herbaceous",per bottle,Red,ABV 15.50%,Tuscany,Savoury & Full Bodied,2017,,High
Chianti Classico,Castello di Meleto,"The first mention of Castello di Meleto dates back to the 13th century. But it wasn't until the 1960s that the castle became the home of Viticola Toscana, a company that champions the winemaking traditions of the Chianti subzone of Gaiole. And this wine is classic Tuscany: a Chianti made from Sangiovese grapes in the 'Classico' foothills. Expect complex notes of cherry, flowers and vanilla. Serve now with leg of lamb or cellar for another five years.",£15.99 per bottle,75CL,Sangiovese,Merlot,Natural Cork,Italy,10.1,"Black Cherry, Red Fruit, Spice, Strawberry",per bottle,Red,ABV 13.50%,Tuscany,Smooth & Mellow,2021,Chianti Classico,High
Malbec,Catena Zapata,"The Catena Zapata family's mission is to make profound and unforgettable wines. They specialise in making high-quality Malbecs in uncovered Uco Valley spots. It's a lot of work. But it's how you find the finest fruit. This is complex and expressive, with notes of blueberries, cassis, vanilla and cream. Decant and serve at 12-18oC with chargrilled steak or cellar for 10-15 years.",£69.99 per bottle,75CL,Malbec,,Natural Cork,Argentina,10.5,"Black Plum, Blackberry, Blackcurrant",per bottle,Red,ABV 14.00%,Mendoza,Rich & Juicy,2020,Uco Valley,High
Gewürztraminer,Cave Vinicole de Hunawihr,"Cave de Hunawihr began in Alsace, on the German border of France, in 1954. Their aim was to restore the region's winemaking industry after it was badly damaged by the German occupation in World War Two. Today, this cooperative consists of 110 members, and it's safe to say they've smashed their initial target. This is a rich and full Gewürztraminer, with notes of lychee, mango and white pepper. Try it with lightly spiced Thai food.",£12.99 per bottle,75CL,Gewürztraminer,,Screwcap,France,10.5,"Tropical Fruit, Apricot, Lychee, Peach",per bottle,White,ABV 14.00%,Alsace,Aromatic & Floral,2020,,Low
Chablis,Domaine L. Chatelain,"Fourchaume is one of the most acclaimed spots in Chablis. Exposed to the rising sun, vines here see bucketloads of grape plumping hours. Here, you'll find Chablis that's powerful and elegant, standing toe to toe with the finest Grand Crus. Domaine L. Chatelain's is a prime example. On the nose, it emits delicate hints of almond, butter and licorice. The palate is round and buttery with flavours of citrus, marmalade and toasted almond.

In 2022, this wine won an IWC award for the 2020 vintage.",£33.99 per bottle,75CL,Chardonnay,,Natural Cork,France,10.1,"Wet Stones, Almond, Floral, Green Apple, Lemon",per bottle,White,ABV 13.50%,Burgundy,Fresh & Elegant ,2021,Chablis,High
Pomerol,Château Certan de May,"Château Certan de May is a first-class Pomerol estate that is named after its 17th-century founders. It sits on Pomerol's prized central plateau, opposite Le Pin and next to Pétrus. After 13 years of development, the tannins in this, its first wine, are wonderfully integrated. Expect ripe black-fruit flavours, low acidity and an excellent finish. When serving, drive the corkscrew in further than usual. Gently ease the cork out and decant for at least an hour before serving at 15 degrees. Excellent with lamb.",£99.00 per bottle,75CL,Merlot,,Natural Cork,France,10.1,"Spice, Blackcurrant, Savoury",per bottle,Red,ABV 13.50%,Bordeaux,Savoury & Full Bodied,2007,Pomerol,Medium
